iter	Passed	Remaining
417	2871	3998
418	2876	3989
419	2882	3980
420	2888	3972
421	2894	3964
422	2902	3958
423	2908	3951
424	2914	3943
425	2921	3936
426	2927	3928
427	2933	3920
428	2940	3913
429	2946	3905
430	2952	3898
431	2959	3890
432	2964	3882
433	2972	3876
434	2978	3868
435	2985	3861
436	2990	3853
437	2996	3844
438	3002	3836
439	3008	3828
440	3014	3821
441	3020	3813
442	3026	3805
443	3032	3797
444	3037	3788
445	3043	3780
446	3048	3771
447	3053	3762
448	3060	3755
449	3065	3746
450	3071	3739
451	3078	3731
452	3084	3724
453	3090	3716
454	3096	3709
455	3102	3701
456	3109	3694
457	3115	3687
458	3121	3678
459	3127	3671
460	3133	3663
461	3139	3656
462	3145	3648
463	3151	3640
464	3158	3633
465	3165	3627
466	3170	3618
467	3176	3611
468	3182	3603
469	3188	3595
470	3195	3588
471	3202	3582
472	3207	3574
473	3214	3567
474	3221	3560
475	3226	3551
476	3232	3544
477	3237	3535
478	3244	3529
479	3250	3521
480	3257	3514
481	3263	3506
482	3269	3499
483	3274	3491
484	3280	3483
485	3285	3474
486	3291	3466
487	3296	3458
488	3302	3451
489	3309	3444
490	3316	3437
491	3321	3429
492	3327	3421
493	3332	3413
494	3338	3406
495	3345	3399
496	3350	3391
497	3356	3383
498	3361	3375
499	3367	3367
500	3373	3359
501	3378	3351
502	3384	3344
503	3389	3336
504	3395	3328
505	3400	3320
506	3406	3312
507	3412	3304
508	3419	3298
509	3424	3290
510	3429	3282
511	3435	3274
512	3441	3266
513	3446	3258
514	3452	3251
515	3457	3243
516	3463	3236
517	3468	3227
518	3474	3220
519	3480	3212
520	3486	3205
521	3492	3198
522	3498	3191
523	3505	3184
524	3511	3176
525	3516	3168
526	3521	3160
527	3527	3153
528	3532	3145
529	3538	3138
530	3544	3130
531	3549	3122
532	3555	3114
533	3561	3107
534	3566	3100
535	3571	3091
536	3577	3084
537	3583	3077
538	3588	3069
539	3594	3061
540	3599	3053
541	3606	3047
542	3612	3040
543	3618	3033
544	3624	3026
545	3630	3018
546	3635	3010
547	3641	3003
548	3647	2996
549	3654	2989
550	3660	2982
551	3665	2974
552	3671	2967
553	3676	2959
554	3681	2951
555	3688	2945
556	3694	2938
557	3701	2931
558	3707	2925
559	3713	2917
560	3719	2910
561	3725	2903
562	3731	2896
563	3737	2889
564	3742	2881
565	3748	2874
566	3754	2867
567	3759	2859
568	3765	2852
569	3771	2845
570	3777	2838
571	3783	2830
572	3788	2823
573	3794	2816
