iter	Logloss
0	0.6921969119
1	0.6910596407
2	0.690456619
3	0.6894004081
4	0.6885404034
5	0.6875016812
6	0.6863391707
7	0.6856029411
8	0.685063261
9	0.6843337563
10	0.6836066853
11	0.6826809937
12	0.6815300992
13	0.6810103129
14	0.6798556748
15	0.6790873769
16	0.6776440058
17	0.6771923832
18	0.6761679555
19	0.6752159122
20	0.674029066
21	0.6732151364
22	0.6718331833
23	0.6707075793
24	0.6698192301
25	0.66896975
26	0.6680495558
27	0.667073988
28	0.6661044058
29	0.6653191362
30	0.664588325
31	0.6641596134
32	0.6632510258
33	0.6626872036
34	0.6622148287
35	0.6616367093
36	0.6609789033
37	0.6601847522
38	0.6598666286
39	0.6593252479
40	0.6587329083
41	0.6585153025
42	0.6577174024
43	0.6570024728
44	0.6564352093
45	0.655737264
46	0.6547517073
47	0.6540765867
48	0.6534777076
49	0.6527504652
50	0.6520550341
51	0.6512578787
52	0.6508965842
53	0.6505387554
54	0.6496599832
55	0.6489147889
56	0.64782312
57	0.6473447606
58	0.6466544843
59	0.6461637815
60	0.6456753529
61	0.6452585647
62	0.6446607748
63	0.6439702786
64	0.6433341462
65	0.6427469743
66	0.6418058348
67	0.6414418373
68	0.6411872674
69	0.6406110538
70	0.6403196854
71	0.6396638463
72	0.6391538486
73	0.6384642856
74	0.638015337
75	0.6376701628
76	0.6368123557
77	0.6364554234
78	0.6352299875
79	0.6346881058
80	0.6344248834
81	0.6337613326
82	0.6333258458
83	0.6326236751
84	0.6320713143
85	0.6315324149
86	0.6309901926
87	0.6306003109
88	0.6302876603
89	0.6297368746
90	0.6295732378
91	0.6288917637
92	0.6282112096
93	0.6278221171
94	0.6271194062
95	0.6266083486
96	0.6261825435
97	0.6258105909
98	0.625085487
99	0.6245489824
100	0.6239662384
101	0.6232593627
102	0.6225770555
103	0.62190253
104	0.6214216157
105	0.6211294748
106	0.6206255645
107	0.6200963097
108	0.6195481548
109	0.6191491072
110	0.6185922186
111	0.6180720469
112	0.6176533096
113	0.6174416354
114	0.617277031
115	0.6166706456
116	0.6160787781
117	0.6155176752
118	0.6152013283
119	0.6146607578
120	0.6142599255
121	0.6138975306
122	0.6133940281
123	0.6128444008
124	0.6121364552
125	0.6114725822
126	0.6110185428
127	0.6107922094
128	0.6106202043
129	0.6100868602
130	0.6097721888
131	0.6095146805
132	0.6091404821
133	0.6088223125
134	0.60861305
135	0.60812243
136	0.6079088755
137	0.607424178
138	0.6072844263
139	0.6065667025
140	0.6059271468
141	0.6055324348
142	0.6048883248
143	0.6045394586
144	0.6041569592
145	0.6039503848
146	0.603850156
147	0.6034864048
148	0.6031703691
149	0.602828249
150	0.60244888
151	0.601705087
152	0.6010737685
153	0.6006544968
154	0.60022598
155	0.5998875099
156	0.5996100151
157	0.5993061537
158	0.5989259639
159	0.5985105701
160	0.5982334972
161	0.5977730921
162	0.5973982056
163	0.5968115924
164	0.5965527235
165	0.5962883024
166	0.5958469412
167	0.5954770605
168	0.5951938965
169	0.5949655033
170	0.594709192
171	0.5942317557
172	0.5935815778
173	0.593085379
174	0.5925315055
175	0.5922322155
176	0.5917144459
177	0.5911464434
178	0.5907236416
179	0.5903113002
180	0.5898416654
181	0.5893016888
182	0.5888768993
183	0.5885077562
184	0.5880011621
185	0.5877224417
186	0.5874684791
187	0.5871830436
188	0.5869201618
189	0.5866745226
190	0.5864279947
191	0.5861796935
192	0.5858697328
193	0.5855655657
194	0.5852861029
195	0.5849041253
196	0.5846423954
197	0.5844316395
198	0.5842657456
199	0.5837968889
200	0.5833655941
201	0.5828705755
202	0.5826214561
203	0.5822874517
204	0.5820973116
205	0.5817942833
206	0.5815147969
207	0.5810159078
208	0.5808242979
209	0.5804591301
210	0.5798392082
211	0.5796177841
212	0.5791439386
213	0.5786074129
214	0.5781554857
215	0.5778161344
216	0.5774695891
217	0.5771356926
218	0.5768018096
219	0.5763942064
220	0.5760612099
221	0.5758916755
222	0.5755949929
223	0.5751444534
224	0.5746520282
225	0.5743388383
226	0.5740296465
227	0.5738803096
228	0.5734662385
229	0.5733218424
230	0.5730369226
231	0.5727528303
232	0.5724760495
233	0.5721416539
234	0.5719053601
235	0.5716321468
236	0.5713817746
237	0.5710656237
238	0.5706290208
239	0.5702333669
240	0.5698512993
241	0.5694830562
242	0.569122428
243	0.5689797585
244	0.5687170203
245	0.5684206005
246	0.5681120878
247	0.567843428
248	0.567480251
249	0.5671945885
250	0.5667866058
251	0.5664674511
252	0.56618971
253	0.5659429333
254	0.5657131855
255	0.5653935439
256	0.5651401709
257	0.5647571707
