SMILES
Oc1c(O)c(C=O)c2c(c1C(C)C)C(=O)C1(C)C(CC=C(C)C1CC=C(C)C)C2=O
CC(C)[C@H]1CCC2=C(C(=O)OC2)[C@@H]1/C=C(\CO)C(=O)OC[C@]1(O)CC[C@H](C(C)C)[C@H]2C=C(C(=O)OC[C@]3(O)CC[C@H](C(C)C)[C@H]4C=C(C(=O)O)COC(=O)[C@@H]43)COC(=O)[C@@H]21
CC(=O)OC1C(O)C2(O)C(C3OC3C2(C)C)C(C)(O)C2CCC3CC12CC3(C)O
CC[C@H]1C[C@@]23C[C@@H]2C2=CC4(C=CC=C2[C@]3(C)CC1=O)CCC(NC)C4(C)C
CC=C(C)C(=O)OC1CCC2(C)C3CCC4CC3(CCC2C1(C)C)CC4(O)CO
CC(C)CCCCCCC1CC(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(=O)O1
C=C1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC(=O)[C@]3(C)[C@H]1[C@@H]2C
CCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O[C@H]3C[C@@H](N(C)C)[C@@H](O)[C@H](C)O3)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC(C)=O
C=C(C)[C@@]12O[C@@]3(c4ccccc4)O[C@@H]1[C@@H]1[C@@H](O)[C@@](O)(CO)[C@@H](O)[C@]4(O)C(=O)[C@H](C)C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(C)=O
Cc1cc(C=O)ccc1O
C=C1C(=O)OC2C1CCC1(C)C(OC(C)=O)CCC(=C)C21
CC(=O)c1ccc(O)c(CC2=CC(=O)C(=O)C(C)=C2O)c1O
CCCCCCCCCCCC[C@@H](OC(C)=O)[C@@]1(O)C(=O)C=C[C@H]1OC(C)=O
CC1C(=O)C23CCC4C5(C)CCC(O)C4(OC5=O)C2(C)CCC1(O)C3
CC(C)=C[C@@H](O)[C@@H](O)[C@@H](CO)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C
CC(C)=C[C@@H]1Oc2c(c3c(c4ccccc24)OC(C)(C)C=C3)C2=C1C(=O)c1ccccc1C2=O
CC(C)[C@H](C)CC[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
CC=C(C)C(=O)OC1C2OCC3(C)C(OC(C)=O)CC(OC(=O)C(C)=CC)C(C)(C23)C2CC(=O)OC3CC(c4ccoc4)C(C)=C3C12C
CC[C@H](C)[C@H](N=C(O)[C@@H]1CCCN1C(=O)C(C)(C)N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)[C@H](CCC(=N)O)N=C(O)[C@@](C)(CC)N=C(C)O)C(C)C)C(C)C)C(O)=N[C@@H](CC(C)C)C(O)=NC(C)(C)C(=O)N1CCC[C@H]1C(O)=N[C@H](CO)C(C)C
CCCCCCCC1=CC(=Cc2[nH]c(-c3ccc[nH]3)cc2OC)N=C1C
C[C@@H](O)[C@@]12O[C@]13c1cc(O)c4c(c1N[C@H]2C#CC=CC#C[C@H]3O)C(=O)c1c(O)cccc1C4=O
COC1=CC(=O)O[C@H](/C=C/c2ccccc2)C1
C=CC(=C)CC[C@H]1[C@@](C)(O)C[C@@H](O)[C@@H]2[C@@](C)(CO)CCC[C@]21C
CC(=O)OC[C@H]1O[C@H](O[C@H]2O[C@@H](COC(=O)/C=C/c3ccccc3)[C@H](O)C2(COC(C)=O)OC(=O)/C=C/c2ccccc2)[C@H](OC(C)=O)[C@@H](O)[C@@H]1OC(C)=O
C/C(CCCO)=C1/COC(CC(C)C)/C1=C\C1N=C2OC1COC(=O)[C@@H](CC(C)C)CC(=O)OC1C(OC(=O)C1(C)CO)/C(C)=C/Cc1ccc2[nH]1
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CC=O)[C@@H]1CC(=O)OCCc1ccc(O)cc1
CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)\C=C\C=C(C)\C=C\C1=C(C)CC(O)CC1(C)C
C=C(C)[C@]1(OC(C)=O)[C@H]2O[C@@]3(c4ccccc4)O[C@@H]1[C@@H]1[C@H](OC(C)=O)[C@@](C)(OC(=O)c4ccccc4)[C@@H](OC(C)=O)[C@]4(O)[C@@H](OC(C)=O)[C@@H](C)C[C@H]4[C@@]1(O3)[C@@H]2C
CC(C)C[C@H]1N=C(O)[C@@H](Cc2ccccc2)N=C(O)[C@@H](Cc2ccccc2)N=C(O)[C@@H](CC(C)C)N=C(O)[C@@H](C(C)C)N=C1O
N=C(O)CC(N=C(O)Cc1ccc(O)cc1O)C(O)=NCCCCCN=C(O)C(CCCN)N=C(O)C(N)CCCNC(=N)N
CC1=CC(O)C(=O)C(CO)C2CC(C)(C)C2CC1
COc1cc(O)c2c(c1)C(=O)c1c(cc3c(c1O)-c1c(cc(C)c(C(O)=NCC(=O)O)c1O)[C@H](O[C@@H]1O[C@@H](C)[C@H](N)[C@H](O[C@H]4OC[C@@H](O)[C@@H](O)[C@H]4O)[C@H]1O)[C@@H]3O)C2=O
C=C1CC[C@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@]2(C)[C@@H]1/C=C/C1=CC(=O)O[C@H]1O
CC1(C)O[C@H]2C[C@@H]([C@H]3CC[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)[C@@H](O)C(=O)C[C@@]67C[C@@]57CC[C@]34C)C[C@H]1C2
C=C(C)[C@@H]1CC[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CC/C=C(\C)C(=O)OC)CC[C@@]24C)C[C@]13CCC(=O)OC
