Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
1-Methyl-4-(Trans-1-n-Propenyl)Benzene,CC=CC1=CC=C(C=C1)C,2077-30-7,not biofuel,132.206,132.0939004,3.02812,0,0,1,0,45.887
1-Methyl-4-allylbenzene,CC1=CC=C(C=C1)CC=C,3333-13-9,not biofuel,132.206,132.0939004,2.72352,0,0,2,0,45.08
2-Phenyl-1-Butene,CCC(=C)C1=CC=CC=C1,2039-93-2,not biofuel,132.206,132.0939004,3.1098,0,0,2,0,45.767
"1,2,3,4-Tetrahydronaphthalene",C1CCC2=CC=CC=C2C1,119-64-2,not biofuel,132.206,132.0939004,2.5654,0,0,0,0,43.084
2-Phenylpentane,CCCC(C)C1=CC=CC=C1,2719-52-0,not biofuel,148.249,148.1252005,3.5902,0,0,3,0,49.765
tert-Amylbenzene,CCC(C)(C)C1=CC=CC=C1,2049-95-8,not biofuel,148.249,148.1252005,3.3742,0,0,2,0,49.759
n-Decylbenzene,CCCCCCCCCCC1=CC=CC=C1,104-72-3,not biofuel,218.384,218.2034508,5.3698,0,0,9,0,72.756
"1,4-Diethylbenzene",CCC1=CC=C(C=C1)CC,105-05-5,not biofuel,134.222,134.1095504,2.8114,0,0,2,0,45.198
"1,2-Dimethyl-3-ethylbenzene",CCC1=CC=CC(=C1C)C,933-98-2,not biofuel,134.222,134.1095504,2.86584,0,0,1,0,45.294
"1,3-Dimethyl-4-ethylbenzene",CCC1=C(C)C=C(C)C=C1,874-41-9,not biofuel,134.222,134.1095504,2.86584,0,0,1,0,45.294
"1,3-Dimethyl-5-ethylbenzene",CCC1=CC(=CC(=C1)C)C,934-74-7,not biofuel,134.222,134.1095504,2.86584,0,0,1,0,45.294
Indane (hydrindene),C1CC2=CC=CC=C2C1,496-11-7,not biofuel,118.179,118.0782503,2.1753,0,0,0,0,38.467
cis-1-Propenylbenzene,CC=CC1=CC=CC=C1,766-90-5,not biofuel,118.179,118.0782503,2.7197,0,0,1,0,41.15
trans-1-Propenylbenzene,CC=CC1=CC=CC=C1,873-66-5,not biofuel,118.179,118.0782503,2.7197,0,0,1,0,41.15
2-Phenylpropene,CC(=C)C1=CC=CC=C1,98-83-9,not biofuel,118.179,118.0782503,2.7197,0,0,1,0,41.15
sec-Butylbenzene,CCC(C)C1=CC=CC=C1,135-98-8,not biofuel,134.222,134.1095504,3.2001,0,0,2,0,45.148
"1,4-Cyclohexadiene",C1C=CCC=C1,628-41-1,not biofuel,80.13,80.06260026,1.8926,0,0,0,0,27.514
"2-Methyl-1,5-Hexadiene",CC(=C)CCC=C,4049-81-4,not biofuel,96.173,96.09390038,2.5287,0,0,3,0,34.245
"2-Methyl-2,4-Hexadiene",CC=CC=C(C)C,28823-41-8,not biofuel,96.173,96.09390038,2.5287,0,0,1,0,34.245
"1-Methyl-1,4-cyclohexadiene",CC1=CCC=CC1,4313-57-9,not biofuel,94.157,94.07825032,2.2827,0,0,0,0,32.131
"2,5-Dimethyl-1,5-hexadiene",CC(=C)CCC(=C)C,627-58-7,not biofuel,110.2,110.1095504,2.9188,0,0,3,0,38.862
"2,5-Dimethyl-2,4-hexadiene",CC(=CC=C(C)C)C,764-13-6,not biofuel,110.2,110.1095504,2.9188,0,0,1,0,38.862
"2,6-Octadiene",CC=CCCC=CC,4974-27-0,not biofuel,110.2,110.1095504,2.9188,0,0,3,0,38.862
"2,6-Dimethyl-1,5-Heptadiene",CC(=CCCC(=C)C)C,6709-39-3,not biofuel,124.227,124.1252005,3.3089,0,0,3,0,43.479
Dicyclopentadiene,C1C=CC2C1C3CC2C=C3,77-73-6,not biofuel,132.206,132.0939004,2.3846,0,0,0,0,41.474
"4-Ethynyl-4-vinyl-1,6-heptadiene",C=CCC(CC=C)(C=C)C#C,19781-40-9,not biofuel,146.233,146.1095504,2.9442,0,0,5,0,51.091
1-Ethylcyclopentene,CCC1=CCCC1,2146-38-5,not biofuel,96.173,96.09390038,2.5067,0,0,1,0,32.225
3-Ethylcyclopentene,CCC1CCC=C1,694-35-9,not biofuel,96.173,96.09390038,2.3626,0,0,1,0,32.155
Cycloheptene,C1CCC=CCC1,628-92-2,not biofuel,96.173,96.09390038,2.5067,0,0,0,0,32.225
"1,5,5-Trimethylcyclopentene",CC1=CCCC1(C)C,62184-83-2,not biofuel,110.2,110.1095504,2.7527,0,0,0,0,36.772
1-Propylcyclopentene,CCCC1=CCCC1,3074-61-1,not biofuel,110.2,110.1095504,2.8968,0,0,2,0,36.842
1-Ethylcyclohexene,CCC1=CCCCC1,1453-24-3,not biofuel,110.2,110.1095504,2.8968,0,0,1,0,36.842
1-Methylcycloheptene,CC1=CCCCCC1,1453-25-4,not biofuel,110.2,110.1095504,2.8968,0,0,0,0,36.842
Propadiene,C=C=C,463-49-0,not biofuel,40.065,40.03130013,0.9573,0,0,0,0,14.767
"1,2-Butadiene",CC=C=C,590-19-2,not biofuel,54.092,54.04695019,1.3474,0,0,0,0,19.384
"3-Methyl-1,2-butadiene",CC(=C=C)C,598-25-4,not biofuel,68.119,68.06260026,1.7375,0,0,0,0,24.001
"1,2-Pentadiene",CCC=C=C,591-95-7,not biofuel,68.119,68.06260026,1.7375,0,0,1,0,24.001
"1,4-Pentadiene",C=CCC=C,591-93-5,not biofuel,68.119,68.06260026,1.7485,0,0,2,0,25.011
"2,3-Pentadiene",CC=C=CC,591-96-8,not biofuel,68.119,68.06260026,1.7375,0,0,0,0,24.001
3-Ethyl-4-methyl-2-pentene,CCC(=CC)C(C)C,19780-68-8,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,3,4-Trimethyl-2-pentene",CC(C)C(C)=C(C)C,565-77-5,not biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
"3,4,4-Trimethyl-2-pentene",CC=C(C)C(C)(C)C,598-96-9,not biofuel,112.216,112.1252005,2.9987,0,0,0,0,38.886
"2-Ethyl-3,3-dimethyl-1-butene",CCC(=C)C(C)(C)C,18231-53-3,not biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
Cyclopropene,C1C=C1,2781-85-3,not biofuel,40.065,40.03130013,0.9463,0,0,0,0,13.757
Cyclobutene,C1CC=C1,822-35-5,not biofuel,54.092,54.04695019,1.3364,0,0,0,0,18.374
3-Ethyl-2-methyl-1-pentene,CCC(CC)C(C)=C,19780-66-6,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
3-Ethyl-4-methyl-1-pentene,CCC(C=C)C(C)C,61847-80-1,not biofuel,112.216,112.1252005,2.8546,0,0,3,0,38.816
"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(C)=C,560-23-6,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,3,4-trimethyl-1-pentene",CC(C)C(C)C(C)=C,565-76-4,not biofuel,112.216,112.1252005,2.8546,0,0,2,0,38.816
"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,107-39-1,not biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
"3,3,4-trimethyl-1-pentene",CC(C)C(C)(C)C=C,560-22-5,not biofuel,112.216,112.1252005,2.8546,0,0,2,0,38.816
"3,4,4-trimethyl-1-pentene",CC(C=C)C(C)(C)C,564-03-4,not biofuel,112.216,112.1252005,2.8546,0,0,1,0,38.816
"2,4,4-Trimethyl-2-pentene",CC(C)=CC(C)(C)C,107-40-4,not biofuel,112.216,112.1252005,2.9987,0,0,0,0,38.886
1-Hexene,CCCCC=C,592-41-6,biofuel,84.162,84.09390038,2.3626,0,0,3,0,29.722
2-Hexene,CCCC=CC,592-43-8,not biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
3-Hexene,CCC=CCC,592-47-2,not biofuel,84.162,84.09390038,2.3626,0,0,2,0,29.722
1-Heptene,CCCCCC=C,592-76-7,biofuel,98.189,98.10955045,2.7527,0,0,4,0,34.339
2-Heptene,CCCCC=CC,592-77-8,biofuel,98.189,98.10955045,2.7527,0,0,3,0,34.339
3-Heptene,CCCC=CCC,592-78-9,not biofuel,98.189,98.10955045,2.7527,0,0,3,0,34.339
3-Ethylhexane,CCCC(CC)CC,619-99-8,not biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
2-Methyloctane,CCCCCCC(C)C,3221-61-2,biofuel,128.259,128.1565006,3.6128,0,0,5,0,43.597
3-Methyloctane,CCCCCC(C)CC,2216-33-3,not biofuel,128.259,128.1565006,3.6128,0,0,5,0,43.597
4-Methyloctane,CCCCC(C)CCC,2216-34-4,biofuel,128.259,128.1565006,3.6128,0,0,5,0,43.597
"2,2-Dimethylheptane",CCCCCC(C)(C)C,1071-26-7,not biofuel,128.259,128.1565006,3.6128,0,0,3,0,43.597
"2,3-Dimethylheptane",CCCCC(C)C(C)C,3074-71-3,not biofuel,128.259,128.1565006,3.4687,0,0,4,0,43.527
"2,5-Dimethylheptane",CCC(C)CCC(C)C,2216-30-0,not biofuel,128.259,128.1565006,3.4687,0,0,4,0,43.527
"2,6-Dimethylheptane",CC(C)CCCC(C)C,1072-05-5,not biofuel,128.259,128.1565006,3.4687,0,0,4,0,43.527
"3,3-Dimethylheptane",CCCCC(C)(C)CC,4032-86-4,not biofuel,128.259,128.1565006,3.6128,0,0,4,0,43.597
"3,4-Dimethylheptane",CCCC(C)C(C)CC,922-28-1,not biofuel,128.259,128.1565006,3.4687,0,0,4,0,43.527
"3,5-Dimethylheptane",CCC(C)CC(C)CC,926-82-9,not biofuel,128.259,128.1565006,3.4687,0,0,4,0,43.527
n-Propylcyclohexane,CCCC1CCCCC1,1678-92-8,not biofuel,126.243,126.1408506,3.3668,0,0,2,0,41.483
n-Propylcyclopentane,CCCC1CCCC1,2040-96-2,not biofuel,112.216,112.1252005,2.9767,0,0,2,0,36.866
"cis-1,3-Dimethylcyclopentane",CC1CCC(C1)C,2532-58-3,not biofuel,98.189,98.10955045,2.4425,0,0,0,0,32.179
iso-Butylbenzene,CC(C)CC1=CC=CC=C1,538-93-2,biofuel,134.222,134.1095504,2.8851,0,0,2,0,44.984
sec-Butylbenzene,CCC(C)C1=CC=CC=C1,135-98-8,not biofuel,134.222,134.1095504,3.2001,0,0,2,0,45.148
"1,4-Dimethylcyclohexane",CC1CCC(C)CC1,589-90-2,not biofuel,112.216,112.1252005,2.8326,0,0,0,0,36.796
2-Methyl-1-heptene,CCCCCC(C)=C,15870-10-7,not biofuel,112.216,112.1252005,3.1428,0,0,4,0,38.956
"5,5-Dimethyl-2-hexene",CC=CCC(C)(C)C,36382-10-2,not biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
"2,2-Dimethyl-3-hexene",CCC=CC(C)(C)C,3123-93-1,not biofuel,112.216,112.1252005,2.9987,0,0,1,0,38.886
"2,3-Dimethyl-3-hexene",CCC=C(C)C(C)C,7145-23-5,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,4-Dimethyl-3-hexene",CCC(C)=CC(C)C,82085-14-1,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,5-Dimethyl-3-hexene",CC(C)C=CC(C)C,15910-22-2,not biofuel,112.216,112.1252005,2.8546,0,0,2,0,38.816
"2,4-Dimethyl-2-hexene",CCC(C)C=C(C)C,14255-23-3,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,5-Dimethyl-2-hexene",CC(C)CC=C(C)C,3404-78-2,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"3,4-Dimethyl-2-hexene",CCC(C)C(C)=CC,2213-37-8,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"3,5-Dimethyl-2-hexene",CC=C(C)CC(C)C,3404-79-3,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"4,4-Dimethyl-2-hexene",CCC(C)(C)C=CC,3404-59-9,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"4,5-Dimethyl-2-hexene",CC=CC(C)C(C)C,73548-71-7,not biofuel,112.216,112.1252005,2.8546,0,0,2,0,38.816
"2,4-Dimethyl-1-hexene",CCC(C)CC(C)=C,16746-87-5,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
"2,5-Dimethyl-1-hexene",CC(C)CCC(C)=C,6975-92-4,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
"3,4-Dimethyl-1-hexene",CCC(C)C(C)C=C,16745-94-1,not biofuel,112.216,112.1252005,2.8546,0,0,3,0,38.816
"3,5-Dimethyl-1-hexene",CC(C)CC(C)C=C,7423-69-0,not biofuel,112.216,112.1252005,2.8546,0,0,3,0,38.816
"4,5-Dimethyl-1-hexene",CC(C)C(C)CC=C,16106-59-5,not biofuel,112.216,112.1252005,2.8546,0,0,3,0,38.816
"3,3-Dimethyl-1-hexene",CCCC(C)(C)C=C,3404-77-1,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
"4,4-Dimethyl-1-hexene",CCC(C)(C)CC=C,1647-08-1,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
"5,5-Dimethyl-1-hexene",CC(C)(C)CCC=C,7116-86-1,not biofuel,112.216,112.1252005,2.9987,0,0,2,0,38.886
"2,3-Dimethyl-2-hexene",CCCC(C)=C(C)C,7145-20-2,not biofuel,112.216,112.1252005,3.1428,0,0,2,0,38.956
2-methyl-2-heptene,CCCCC=C(C)C,627-97-4,not biofuel,112.216,112.1252005,3.1428,0,0,3,0,38.956
3-methyl-2-heptene,CCCCC(C)=CC,3404-75-9,not biofuel,112.216,112.1252005,3.1428,0,0,3,0,38.956
4-methyl-2-heptene,CCCC(C)C=CC,3404-56-6,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
5-methyl-2-heptene,CCC(C)CC=CC,22487-87-2,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
6-methyl-2-heptene,CC=CCCC(C)C,73548-72-8,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
2-methyl-3-heptene,CCCC=CC(C)C,17618-76-7,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
3-methyl-3-heptene,CCCC=C(C)CC,7300-03-0,not biofuel,112.216,112.1252005,3.1428,0,0,3,0,38.956
4-methyl-3-heptene,CCCC(C)=CCC,4485-16-9,not biofuel,112.216,112.1252005,3.1428,0,0,3,0,38.956
5-methyl-3-heptene,CCC=CC(C)CC,13172-91-3,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
"2,3-Dimethyl-1-hexene",CCCC(C)C(C)=C,16746-86-4,not biofuel,112.216,112.1252005,2.9987,0,0,3,0,38.886
Ethylcyclopentane,CCC1CCCC1,1640-89-7,not biofuel,98.189,98.10955045,2.5866,0,0,1,0,32.249
"1,1-Dimethylcyclopentane",CC1(C)CCCC1,1638-26-2,not biofuel,98.189,98.10955045,2.5866,0,0,0,0,32.249
"1,2-Dimethylcyclopentane",CC1CCCC1C,2452-99-5,not biofuel,98.189,98.10955045,2.4425,0,0,0,0,32.179
"cis-1,3-Dimethylcyclopentane",CC1CCC(C1)C,2532-58-3,not biofuel,98.189,98.10955045,2.4425,0,0,0,0,32.179
Isopropylcyclopentane,CC(C)C1CCCC1,3875-51-2,not biofuel,112.216,112.1252005,2.8326,0,0,1,0,36.796
1-Ethyl-3-methylcyclopentane,CCC1CCC(C)C1,3726-47-4,not biofuel,112.216,112.1252005,2.8326,0,0,1,0,36.796
"1,2-Dimethylcyclohexane",CC1CCCCC1C,583-57-3,not biofuel,112.216,112.1252005,2.8326,0,0,0,0,36.796
"1,3-Dimethylcyclohexane",CC1CCCC(C)C1,591-21-9,not biofuel,112.216,112.1252005,2.8326,0,0,0,0,36.796
"1,4-Dimethylcyclohexane",CC1CCC(C)CC1,589-90-2,not biofuel,112.216,112.1252005,2.8326,0,0,0,0,36.796
"1,1,2-Trimethylcyclohexane",CC1CCCCC1(C)C,7094-26-0,not biofuel,126.243,126.1408506,3.2227,0,0,0,0,41.413
"1,1,3-Trimethylcyclohexane",CC1CCCC(C)(C)C1,3073-66-3,not biofuel,126.243,126.1408506,3.2227,0,0,0,0,41.413
"1,2,3-Trimethylcyclohexane",CC1CCCC(C)C1C,1678-97-3,not biofuel,126.243,126.1408506,3.0786,0,0,0,0,41.343
"1,2,4-Trimethylcyclohexane",CC1CCC(C)C(C)C1,2234-75-5,not biofuel,126.243,126.1408506,3.0786,0,0,0,0,41.343
"1,3,5-Trimethylcyclohexane",CC1CC(C)CC(C)C1,1839-63-0,not biofuel,126.243,126.1408506,3.0786,0,0,0,0,41.343
"1,1-Dimethylcycloheptane",CC1(C)CCCCCC1,13151-49-0,not biofuel,126.243,126.1408506,3.3668,0,0,0,0,41.483
Ethylcycloheptane,CCC1CCCCCC1,13151-55-8,not biofuel,126.243,126.1408506,3.3668,0,0,1,0,41.483
3-Ethylpentane,CCC(CC)CC,617-78-7,not biofuel,100.205,100.1252005,2.8326,0,0,3,0,34.363
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,464-06-2,not biofuel,100.205,100.1252005,2.6885,0,0,0,0,34.293
2-Methylheptane,CCCCCC(C)C,592-27-8,not biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
"2,3-Dimethylhexane",CCCC(C)C(C)C,584-94-1,not biofuel,114.232,114.1408506,3.0786,0,0,3,0,38.91
"2,4-Dimethylhexane",CCC(C)CC(C)C,589-43-5,not biofuel,114.232,114.1408506,3.0786,0,0,3,0,38.91
"2,5-Dimethylhexane",CC(C)CCC(C)C,592-13-2,not biofuel,114.232,114.1408506,3.0786,0,0,3,0,38.91
"3,3-Dimethylhexane",CCCC(C)(C)CC,563-16-6,not biofuel,114.232,114.1408506,3.2227,0,0,3,0,38.98
"2,2-Dimethylhexane",CCCCC(C)(C)C,590-73-8,not biofuel,114.232,114.1408506,3.2227,0,0,2,0,38.98
"3,4-Dimethylhexane",CCC(C)C(C)CC,583-48-2,not biofuel,114.232,114.1408506,3.0786,0,0,3,0,38.91
3-Ethylhexane,CCCC(CC)CC,619-99-8,not biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
"2,3-Dimethylpentane",CCC(C)C(C)C,565-59-3,not biofuel,100.205,100.1252005,2.6885,0,0,2,0,34.293
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,not biofuel,100.205,100.1252005,2.6885,0,0,2,0,34.293
3-Ethylpentane,CCC(CC)CC,617-78-7,not biofuel,100.205,100.1252005,2.8326,0,0,3,0,34.363
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,464-06-2,not biofuel,100.205,100.1252005,2.6885,0,0,0,0,34.293
2-Methylheptane,CCCCCC(C)C,592-27-8,not biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
