Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
3-Methylnonane,CCCCCCC(C)CCC,5911-04-6,biofuel,156.313,156.187800768,4.393000000000004,0.0,0.0,7.0,0.0,52.83100000000004
4-Methylnonane,CCCCC(C)CCCC,17301-94-9,biofuel,142.286,142.172150704,4.002900000000003,0.0,0.0,6.0,0.0,48.21400000000003
5-Methylnonane,CCCCC(C)CCCC,15869-85-9,biofuel,142.286,142.172150704,4.002900000000003,0.0,0.0,6.0,0.0,48.21400000000003
"2,2,3,3-tetramethylpentane",CCC(C)(C)C(C)(C)C,7154-79-2,biofuel,128.25899999999996,128.15650064,3.468700000000003,0.0,0.0,1.0,0.0,43.52700000000001
"2,2-dimethyl-3-ethylpentane",CCC(CC)C(C)(C)C,16747-32-3,biofuel,128.259,128.15650064,3.468700000000003,0.0,0.0,2.0,0.0,43.52700000000001
"2,2-dimethylbutane",CCC(C)(C)C,75-83-2,biofuel,86.17799999999998,86.109550448,2.442500000000001,0.0,0.0,0.0,0.0,29.74599999999998
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel,128.259,128.15650064,3.324600000000002,0.0,0.0,3.0,0.0,43.45700000000001
"2,3-dimethylbutane",CC(C)C(C)C,79-29-8,biofuel,86.178,86.109550448,2.2984,0.0,0.0,1.0,0.0,29.675999999999984
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,464-06-2,biofuel,100.20499999999998,100.12520051199999,2.6885000000000012,0.0,0.0,0.0,0.0,34.292999999999985
"2,2-Dimethylpropane",CC(C)(C)C,463-82-1,biofuel,72.151,72.093900384,2.0524,0.0,0.0,0.0,0.0,25.12899999999999
2-methylpentane,CCCC(C)C,107-83-5,biofuel,86.178,86.109550448,2.442500000000001,0.0,0.0,2.0,0.0,29.74599999999998
3-methylpentane,CCC(C)CC,96-14-0,biofuel,86.178,86.109550448,2.442500000000001,0.0,0.0,2.0,0.0,29.74599999999998
3-Hexene,CCC=CCC,592-47-2,biofuel,84.162,84.093900384,2.3626000000000005,0.0,0.0,2.0,0.0,29.721999999999984
3-methyl-1-pentene,CCC(C)C=C,760-20-3,biofuel,84.16199999999999,84.093900384,2.2184999999999997,0.0,0.0,2.0,0.0,29.651999999999983
2-ethyl-1-butene,CCC(=C)CC,760-21-4,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,2.0,0.0,29.721999999999984
"2,3-dimethyl-1-butene",CC(C)C(=C)C,563-78-0,biofuel,84.16199999999999,84.093900384,2.2184999999999997,0.0,0.0,1.0,0.0,29.651999999999983
"3,3-dimethyl-1-butene",CC(C)(C)C=C,558-37-2,biofuel,84.16199999999999,84.093900384,2.2184999999999997,0.0,0.0,0.0,0.0,29.651999999999983
"2,3-dimethyl-2-butene",CC(=C(C)C)C,563-79-1,biofuel,84.16199999999999,84.093900384,2.3626000000000005,0.0,0.0,0.0,0.0,29.721999999999984
4-methyl-1-hexene,CCC(C)CC=C,3769-23-1,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,3.0,0.0,34.26899999999999
"2,3,3-trimethyl-1-butene",CC(=C)C(C)(C)C,594-56-9,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,0.0,0.0,34.26899999999999
2-Methyl-1-hexene,CCCCC(=C)C,6094-02-6,biofuel,98.189,98.109550448,2.752700000000001,0.0,0.0,3.0,0.0,34.33899999999999
2-Methyl-2-hexene,CCCC=C(C)C,2738-19-4,biofuel,98.189,98.109550448,2.752700000000001,0.0,0.0,2.0,0.0,34.33899999999999
2-Methyl-3-hexene,CCC=CC(C)C,692-24-0,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,2.0,0.0,34.26899999999999
"2,3-Dimethyl-1-pentene",CCC(C)C(=C)C,3404-72-6,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,2.0,0.0,34.26899999999999
2-Methyl-2-propanol,CC(C)(C)O,75-65-0,biofuel,74.12299999999999,74.07316494,0.7771999999999999,1.0,1.0,0.0,20.23,21.971799999999995
3-methyl-1-butanol,CC(C)CCO,123-51-3,biofuel,88.14999999999999,88.088815004,1.0248,1.0,1.0,2.0,20.23,26.54079999999999
methyl tert-butyl ether,CC(C)(C)OC,1634-04-4,biofuel,88.14999999999999,88.088815004,1.4313,0.0,1.0,0.0,9.23,26.761999999999986
Tert-Amyl methyl ether,CCC(C)(C)OC,994-05-8,biofuel,102.17699999999998,102.104465068,1.8214000000000001,0.0,1.0,2.0,9.23,31.37899999999998
tert-butyl ethyl ether,CCOC(C)(C)C,637-92-3,biofuel,102.17699999999999,102.104465068,1.8214000000000001,0.0,1.0,1.0,9.23,31.37899999999998
benzene,C1=CC=CC=C1,71-43-2,biofuel,78.11399999999999,78.046950192,1.6866,0.0,0.0,0.0,0.0,26.441999999999993
toluene,CC1=CC=CC=C1,108-88-3,biofuel,92.14099999999999,92.062600256,1.99502,0.0,0.0,0.0,0.0,31.17899999999999
styrene,C=CC1=CC=CC=C1,100-42-5,biofuel,104.15199999999997,104.062600256,2.3296,0.0,0.0,1.0,0.0,36.53300000000001
4-Methyl-1-Hexene,CCC(C)CC=C,3769-23-1,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,3.0,0.0,34.26899999999999
4-Methyl-1-Pentene,CC(C)CC=C,691-37-2,biofuel,84.16199999999999,84.093900384,2.2184999999999997,0.0,0.0,2.0,0.0,29.651999999999983
4-Methyl-2-Pentene,CC=CC(C)C,4461-48-7,biofuel,84.162,84.093900384,2.2184999999999997,0.0,0.0,1.0,0.0,29.651999999999983
4-Methylheptane,CCCC(C)CCC,589-53-7,biofuel,114.232,114.14085057599999,3.2227000000000023,0.0,0.0,4.0,0.0,38.98
4-Octene,CCCC=CCCC,592-99-4,biofuel,112.216,112.12520051199999,3.142800000000002,0.0,0.0,4.0,0.0,38.956
"1,2-dimethylbenzene (o-xylene)",CC1=CC=CC=C1C,95-47-6,biofuel,106.16799999999999,106.07825032,2.30344,0.0,0.0,0.0,0.0,35.916
"1,3-dimethylbenzene (m-Xylene)",CC1=CC(=CC=C1)C,108-38-3,biofuel,106.16799999999998,106.07825032,2.30344,0.0,0.0,0.0,0.0,35.916000000000004
