Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
1-Hexene,C=CCCCC,biofuel,C=CCCCC,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
cis-2-hexene ,C/C=C\CCCC,biofuel,C/C=C\CCCC,98.18900000000001,98.109550448,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001
2-Methyl-1-butene,C=C(C)CC,biofuel,C=C(C)CC,70.13499999999999,70.07825032,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999
3-Methyl-1-butene,CC=C(C)C,biofuel,CC=C(C)C,70.13499999999999,70.07825032,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999
2-Methyl-2-butene,CC=C(C)C,biofuel,CC=C(C)C,70.13499999999999,70.07825032,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999,70.13499999999999
2-Methylpropene,C=C(C)C,biofuel,C=C(C)C,56.10799999999999,56.062600255999996,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999,56.10799999999999
1-Octene,C=CCCCCCC,biofuel,C=CCCCCCC,112.216,112.12520051199999,112.216,112.216,112.216,112.216,112.216,112.216,112.216
2-Octene,CC=CCCCCCC,biofuel,CC=CCCCCCC,126.24300000000001,126.14085057599999,126.24300000000001,126.24300000000001,126.24300000000001,126.24300000000001,126.24300000000001,126.24300000000001,126.24300000000001
1-Heptene,C=CCCCCC,biofuel,C=CCCCCC,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
2-Heptene,CC=CCCCC,biofuel,CC=CCCCC,98.18900000000001,98.109550448,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001
3-Heptene,CCC=CCCC,biofuel,CCC=CCCC,98.18900000000001,98.109550448,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001
2-Pentanone,CCC(C)C=O,biofuel,CCC(C)C=O,86.13399999999999,86.07316494,86.13399999999999,86.13399999999999,86.13399999999999,86.13399999999999,86.13399999999999,86.13399999999999,86.13399999999999
2-Butanone,CC(C)C=O,biofuel,CC(C)C=O,72.107,72.057514876,72.107,72.107,72.107,72.107,72.107,72.107,72.107
2-Methyl-1-propanol,CC(C)CO,biofuel,CC(C)CO,74.12299999999999,74.07316494,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999
2-Methylfuran,Cc1ccco1,biofuel,Cc1ccco1,82.102,82.041864812,82.102,82.102,82.102,82.102,82.102,82.102,82.102
3-Pentanone,CCC(=O)CC,biofuel,CCC(=O)CC,86.134,86.07316494,86.134,86.134,86.134,86.134,86.134,86.134,86.134
Isopropyl acetate,CC(=O)OC(C)C,biofuel,CC(=O)OC(C)C,102.133,102.06807956,102.133,102.133,102.133,102.133,102.133,102.133,102.133
Methyl isobutyrate,COC(=O)C(C)C,biofuel,COC(=O)C(C)C,102.133,102.06807956,102.133,102.133,102.133,102.133,102.133,102.133,102.133
4-Methyl-2-pentanol,CC(C)C(C)C(C)O,biofuel,CC(C)C(C)C(C)O,116.20399999999998,116.120115132,116.20399999999998,116.20399999999998,116.20399999999998,116.20399999999998,116.20399999999998,116.20399999999998,116.20399999999998
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,biofuel,CC1(C)CCCCC1,112.21600000000001,112.12520051199999,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001
"1,1-Dimethylcyclopentane",CC1(C)CCCC1,biofuel,CC1(C)CCCC1,98.18900000000001,98.109550448,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001,98.18900000000001
Cyclopentane,C1CCCC1,biofuel,C1CCCC1,70.135,70.07825032,70.135,70.135,70.135,70.135,70.135,70.135,70.135
2-Methyl-1-Pentene,C=CCCCC(C)C,biofuel,C=CCCCC(C)C,112.21599999999998,112.12520051199999,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998
cyclopentanone,O=C1CCCC1,biofuel,O=C1CCCC1,84.11800000000001,84.057514876,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001
2-Methyl-2-Pentene,CC(C)=CC(C)C,biofuel,CC(C)=CC(C)C,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
3-methyl-2-pentene,CC(C)=CC(C)C,biofuel,CC(C)=CC(C)C,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
2-Methyl-3-ethylpentane,CCC(CC)C(C)C,biofuel,CCC(CC)C(C)C,114.23199999999999,114.14085057599999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999
