Name,SMILES,CAS,Type
"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,560-21-4,biofuel
"2,3,4-Trimethyl-2-Pentene",CC(C)C(=C(C)C)C,565-77-5,biofuel
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,565-75-3,biofuel
"2,4-Dimethyl-1-Pentene",CC(C)CC(=C)C,2213-32-3,biofuel
"2,4-Dimethyl-2-Pentene",CC(C)C=C(C)C,625-65-0,biofuel
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,590-66-9,biofuel
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel
Cyclopentane,CC1CC(C(C1)(C)C)C,287-92-3,biofuel
"1,3-Dimethylcyclopentane",CC1CCC(C1)C,2453-00-1,biofuel
2-Methylpiperidine,CC1CCCCN1,109-05-7,biofuel
2-Methylpyridine,CC1=CC=CC=N1,109-06-8,biofuel
3-Methylpyridine,CC1=CN=CC=C1,108-99-6,biofuel
4-Methylpyridine,CC1=CC=NC=C1,108-89-4,biofuel
Aniline,C1=CC=C(C=C1)N,62-53-3,biofuel
N-methylaniline,CNC1=CC=CC=C1,100-61-8,biofuel
Indole,C1=CC=C2C(=C1)C=CN2,120-72-9,biofuel
Quinoline,C1=CC=C2C(=C1)C=CC=N2,91-22-5,biofuel
Dibenzopyrrole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,86-74-8,biofuel
Phenol,C1=CC=C(C=C1)O,108-95-2,biofuel
Anisole,COC1=CC=CC=C1,100-66-3,biofuel
Benzyl alcohol,C1=CC=C(C=C1)CO,100-51-6,biofuel
O-Cresol,CC1=CC=CC=C1O,95-48-7,biofuel
M-Cresol,CC1=CC(=CC=C1)O,108-39-4,biofuel
P-Cresol,CC1=CC=C(C=C1)O,106-44-5,biofuel
Benzaldehyde,C1=CC=C(C=C1)C=O,100-52-7,biofuel
Phenetole,CCOC1=CC=CC=C1,103-73-1,biofuel
4-Methylanisole,CC1=CC=C(C=C1)OC,104-93-8,biofuel
1-Phenylethanol,CC(C1=CC=CC=C1)O,98-85-1,biofuel
2-Phenylethanol ,C1=CC=C(C=C1)CCO,1960/12/8,biofuel
"2,4-Xylenol",CC1=CC(=C(C=C1)O)C,105-67-9,biofuel
Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,104-55-2,biofuel
4-Propylanisole,CCCC1=CC=C(C=C1)OC,104-45-0,biofuel
Guaiacol,COC1=CC=CC=C1O,1990/5/1,biofuel
4-Methylguaiacol,CC1=CC(=C(C=C1)O)OC,93-51-6,biofuel
4-Ethylguaiacol,CCC1=CC(=C(C=C1)O)OC,2785-89-9,biofuel
Pentane,CCCCC,109-66-0,biofuel
Methylamine,CN,74-89-5,biofuel
Ethylamine,CCN,1975/4/7,biofuel
